NCBI_Refseq	GTDB_Phylum	GTDB_Class	GTDB_Order	GTDB_Family	GTDB_Genus	GTDB_Species	Isolation Source
GCA_902767775	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp902767775	host
GCA_902768065	Firmicutes	Bacilli	RF39	UBA660	UBA3789	UBA3789 sp902768065	host
GCA_902768335	Firmicutes	Bacilli	RFN20	CAG-826	UBA3207	UBA3207 sp902768335	host
GCA_902768985	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	RC9	RC9 sp902768985	host
GCA_902769185	Firmicutes	Bacilli	RFN20	CAG-826	UBA2450	UBA2450 sp902769185	host
GCA_902773925	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Bact-11	Bact-11 sp902773925	host
GCA_902774045	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	RC9	RC9 sp902774045	host
GCA_902774125	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_G	Eubacterium_G sp902774125	host
GCA_902774175	Bacteroidota	Bacteroidia	Bacteroidales	WCHB1-69	UBA1195	UBA1195 sp902774175	host
GCA_902774845	Bacteroidota	Bacteroidia	Bacteroidales	P3	UBA1711	UBA1711 sp902774845	host
GCA_902775135	Bacteroidota	Bacteroidia	Bacteroidales	P3	UBA1711	UBA1711 sp902775135	host
GCA_902775895	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA4285	UBA4285 sp902775895	host
GCA_902776475	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp902776475	host
GCA_902776835	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Sodaliphilus	Sodaliphilus sp902776835	host
GCA_902778165	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA1712	UBA1712 sp902778165	host
GCA_902780395	Firmicutes	Bacilli	RF39	UBA660	UBA3789	UBA3789 sp902780395	host
GCA_902780405	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-127	CAG-127 sp902780405	host
GCA_902780505	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus_D	RuminococcuD sp902780505	host
GCA_902780845	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	RUG754	RUG754 sp902780845	host
GCA_902781515	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	UBA4372	UBA4372 sp902781515	host
GCA_902781545	Spirochaetota	Spirochaetia	Sphaerochaetales	Sphaerochaetaceae	UBA9732	UBA9732 sp902781545	host
GCA_902781705	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	RC9	RC9 sp902781705	host
GCA_902782225	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	RC9	RC9 sp902782225	host
GCA_902783265	Firmicutes	Bacilli	RF39	UBA660	CAG-822	CAG-822 sp902783265	host
