Hepler	sameSp	Type
S11	S383	KS
S20	S383	KS
S60	S383	KS
S60	S383	KS
S63	S383	KS
S64	S383	KS
S64	S383	KS
S63	S383	KS
S60	S384	NG
S60	S385	KS
S63	S385	KS
S64	S387	NS
S60	S388	KS
S60	S388	KS
S60	S389	KS
S60	S390	NS
S08	S391	KS
S08	S391	KS
S11	S391	KS
S11	S391	KS
S20	S391	KS
S60	S391	KS
S63	S391	KS
S63	S392	NG
S11	S393	KS
S11	S393	KS
S20	S393	KS
S20	S394	NS
S08	S395	KS
S08	S396	KS
S47	S396	KS
S11	S397	KS
S26	S397	KS
S60	S397	KS
S60	S397	KS
S64	S397	KS
S11	S398	KS
S20	S398	KS
S47	S398	KS
S60	S398	KS
S60	S398	KS
S64	S398	KS
S08	S398	KS
S08	S398	KS
S11	S399	NS
S08	S400	KS
S08	S400	KS
S64	S400	KS
S20	S401	KS
S11	S402	KS
S63	S402	KS
S63	S403	KS
S47	S404	KS
S63	S404	KS
S20	S405	KS
S20	S406	NS
S20	S406	NS
S60	S406	NS
S64	S407	NS
S08	S409	KS
S08	S409	KS
S11	S409	KS
S20	S409	KS
S26	S409	KS
S47	S409	KS
S60	S409	KS
S60	S409	KS
S64	S409	KS
S64	S409	KS
S11	S409	KS
S63	S409	KS
S11	S410	NS
S60	S411	KS
S08	S412	KS
S08	S412	KS
S11	S412	KS
S11	S412	KS
S26	S412	KS
S47	S412	KS
S47	S412	KS
S60	S412	KS
S60	S412	KS
S60	S412	KS
S63	S412	KS
S64	S412	KS
S08	S413	KS
S20	S413	KS
S26	S413	KS
S47	S413	KS
S47	S413	KS
S60	S413	KS
S63	S413	KS
S63	S414	NS
S11	S414	NS
S64	S414	NS
S47	S414	NS
S26	S414	NS
S08	S414	NS
S11	S414	NS
S20	S414	NS
S11	S415	KS
S63	S415	KS
S63	S415	KS
S60	S416	NS
S60	S417	NS
S60	S417	NS
S08	S418	KS
S26	S418	KS
S60	S418	KS
S63	S418	KS
S64	S419	KS
S11	S420	KS
S20	S420	KS
S08	S422	NS
S11	S422	NS
S26	S422	NS
S20	S424	KS
S26	S425	KS
S63	S425	KS
S11	S426	NS
S20	S427	NS
S11	S428	NS
S11	S428	NS
S20	S428	NS
S11	S429	NS
S64	S430	KS
S08	S431	KS
S26	S431	KS
S20	S432	KS
S20	S433	KS
S08	S435	KS
S20	S436	KS
S63	S436	KS
S64	S436	KS
S08	S438	KS
S08	S439	KS
S47	S441	NS
S64	S442	NS
S26	S443	KS
S60	S444	NS
S08	S445	NS
S47	S445	NS
S08	S446	KS
S60	S446	KS
S60	S446	KS
S60	S447	NS
S20	S448	NS
S11	S448	NS
S60	S448	NS
S20	S449	KS
S20	S449	KS
S26	S450	KS
S08	S452	NS
S26	S453	NS
S26	S453	NS
S20	S453	NS
S26	S454	KS
S08	S455	KS
S47	S455	KS
S60	S455	KS
S11	S457	KS
S20	S457	KS
S60	S457	KS
S60	S457	KS
S08	S457	KS
S63	S457	KS
S26	S458	NS
S08	S459	KS
S63	S459	KS
S08	S460	KS
S20	S460	KS
S26	S460	KS
S63	S460	KS
S64	S460	KS
S64	S461	KS
S11	S462	KS
S20	S462	KS
S20	S462	KS
S26	S462	KS
S47	S462	KS
S47	S462	KS
S63	S462	KS
S64	S462	KS
S60	S464	KS
S11	S465	NS
S47	S466	KS
S11	S467	KS
S47	S467	KS
S20	S468	KS
S08	S469	NS
S26	S470	NS
S26	S470	NS
S64	S471	NG
S20	S472	NS
S47	S473	NS
